Date,Action
2022-12-29,SELL
2023-01-06,BUY
2023-01-13,SELL
2023-01-20,SELL
2023-02-01,BUY
2023-02-08,BUY
2023-02-15,BUY
2023-02-22,SELL
2023-03-01,BUY
2023-03-08,BUY
2023-03-15,SELL
2023-03-22,SELL
2023-03-29,BUY
2023-04-06,BUY
2023-04-17,SELL
2023-04-24,SELL
2023-05-02,SELL
2023-05-09,SELL
2023-05-16,SELL
2023-05-23,SELL
2023-05-31,SELL
2023-06-07,SELL
2023-06-14,SELL
2023-06-21,BUY
2023-06-29,BUY
2023-07-06,SELL
2023-07-13,SELL
2023-07-21,BUY
2023-07-28,BUY
2023-08-04,SELL
2023-08-11,SELL
2023-08-18,SELL
2023-08-25,SELL
2023-09-04,BUY
2023-09-12,SELL
2023-09-19,BUY
2023-09-26,BUY
2023-10-04,BUY
2023-10-11,SELL
2023-10-18,BUY
