Date,Action
2015-01-26,SELL
2015-02-06,SELL
2015-03-10,BUY
2015-03-30,SELL
2015-06-01,BUY
2015-07-08,BUY
2015-07-14,SELL
2015-08-06,BUY
2015-08-10,BUY
2015-08-12,BUY
2015-08-18,BUY
2015-10-16,SELL
2015-11-16,BUY
2015-12-10,BUY
2016-01-07,BUY
2016-03-15,SELL
2016-03-30,SELL
2016-04-14,BUY
2016-05-06,BUY
2016-05-10,BUY
2016-06-02,SELL
2016-07-15,SELL
2016-07-25,SELL
2016-08-18,SELL
2016-08-23,SELL
2016-09-05,SELL
2016-11-07,BUY
2016-11-11,BUY
2016-11-17,SELL
2016-12-19,BUY
2017-01-11,SELL
2017-01-26,SELL
2017-02-09,BUY
2017-02-13,SELL
2017-03-10,BUY
2017-03-20,SELL
2017-03-23,SELL
2017-03-29,SELL
2017-05-10,SELL
2017-05-22,SELL
2017-07-13,SELL
2017-07-17,SELL
2017-08-31,SELL
2017-10-17,SELL
2017-10-20,SELL
2017-11-20,SELL
2017-12-28,SELL
2018-02-09,BUY
2018-04-03,BUY
2018-04-19,SELL
2018-06-08,BUY
2018-06-14,SELL
2018-06-25,BUY
2018-08-15,BUY
2018-10-11,BUY
2018-10-15,BUY
2018-10-31,BUY
2018-12-03,SELL
2018-12-24,BUY
2019-01-22,SELL
2019-01-29,BUY
2019-02-18,SELL
2019-02-21,SELL
2019-04-15,SELL
2019-05-09,BUY
2019-05-29,SELL
2019-06-20,SELL
2019-06-27,SELL
2019-07-03,SELL
2019-07-16,BUY
2019-08-02,BUY
2019-09-11,SELL
2019-10-02,BUY
2019-10-17,SELL
2019-10-25,SELL
2019-12-19,SELL
2019-12-23,BUY
2020-01-13,SELL
2020-01-16,SELL
2020-01-31,BUY
2020-02-21,SELL
2020-03-03,BUY
2020-03-06,BUY
2020-03-10,BUY
2020-04-14,SELL
2020-05-29,BUY
2020-06-11,SELL
2020-07-02,BUY
2020-07-06,SELL
2020-09-11,BUY
2020-09-17,BUY
2020-09-21,BUY
2020-09-25,SELL
2020-10-20,SELL
2020-11-12,BUY
2020-11-19,SELL
2021-01-05,SELL
2021-01-08,SELL
2021-01-27,SELL
2021-02-19,SELL
2021-05-14,SELL
2021-06-01,SELL
2021-06-22,BUY
2021-07-19,BUY
2021-07-27,BUY
2021-08-20,BUY
2021-09-27,BUY
2021-10-04,BUY
2021-10-19,SELL
2021-10-26,SELL
2021-10-28,SELL
2021-11-08,BUY
2021-11-30,BUY
2021-12-30,BUY
2022-01-12,SELL
2022-01-20,SELL
2022-02-24,BUY
2022-03-01,BUY
2022-04-04,SELL
2022-04-22,BUY
2022-05-10,BUY
2022-06-01,SELL
2022-06-06,SELL
2022-06-09,SELL
2022-07-04,BUY
2022-07-18,BUY
2022-08-02,SELL
2022-09-16,BUY
2022-09-21,BUY
2022-10-11,BUY
2022-10-25,BUY
2022-11-17,SELL
2022-11-23,SELL
2022-11-30,SELL
2022-12-09,SELL
2022-12-15,BUY
2022-12-16,SELL
2023-01-04,SELL
2023-01-09,SELL
2023-02-15,BUY
2023-02-21,BUY
2023-03-10,BUY
2023-04-03,SELL
2023-04-12,SELL
2023-04-19,BUY
2023-04-26,SELL
2023-05-29,BUY
