Name,Symbol,Last,Chg.,Chg. %,Vol.,Turn.,P/E,P/B,Yield,Market Cap,Sector
CKH HOLDINGS,00001.HK,40.75,0.1,0.25%,2.71M,109.94M,4.26,0.3,7.18%,156.07B,HSC
CLP HOLDINGS,00002.HK,60.8,0.4,0.66%,1.27M,76.67M,164.32,1.46,5.10%,153.61B,HSU
HK & CHINA GAS,00003.HK,5.56,-0.04,-0.71%,7.06M,39.13M,19.79,1.69,6.30%,103.75B,HSU
HSBC HOLDINGS,00005.HK,59.75,-0.2,-0.33%,12.19M,730.19M,10.2,0.83,4.18%,"1159.50B",HSF
POWER ASSETS,00006.HK,39.95,0.15,0.38%,1.02M,40.45M,15.08,0.98,7.06%,85.14B,HSU
HANG SENG BANK,00011.HK,90.75,-0.05,-0.06%,888.97K,80.58M,18.33,0.94,4.52%,173.50B,HSF
HENDERSON LAND,00012.HK,22.4,0.2,0.90%,1.86M,41.36M,11.73,0.33,8.04%,108.45B,HSP
SHK PPT,00016.HK,79.75,0.4,0.50%,1.74M,138.68M,9.67,0.38,6.21%,231.10B,HSP
NEW WORLD DEV,00017.HK,15.82,0.12,0.76%,10.93M,172.22M,40.56,0.2,14.86%,39.81B,HSP
GALAXY ENT,00027.HK,43.8,-0.4,-0.91%,3.47M,152.64M,No Profit,2.99,0.00%,191.56B,HSC
MTR CORPORATION,00066.HK,29.8,0.15,0.51%,2.41M,71.85M,18.74,1.03,4.40%,185.27B,HSC
HANG LUNG PPT,00101.HK,11.42,0,0.00%,3.52M,40.13M,13.44,0.39,6.83%,51.38B,HSP
GEELY AUTO,00175.HK,9.34,-0.11,-1.16%,23.96M,223.86M,16.23,1.16,2.25%,93.99B,HSC
ALI HEALTH,00241.HK,4.63,-0.04,-0.86%,16.49M,76.33M,102.55,3.61,0.00%,62.66B,HSC
CITIC,00267.HK,7.38,-0.12,-1.60%,15.91M,118.63M,2.85,0.29,8.82%,214.69B,HSC
WH GROUP,00288.HK,4.8,-0.04,-0.83%,20.57M,99.04M,5.76,0.82,6.25%,61.59B,HSC
CHINA RES BEER,00291.HK,39,-0.65,-1.64%,7.16M,279.58M,25.8,4.15,1.55%,126.52B,HSC
OOIL,00316.HK,93.9,-1.8,-1.88%,802.06K,75.53M,0.8,0.59,87.81%,62.01B,HSC
TINGYI,00322.HK,10.26,-0.12,-1.16%,1.21M,12.45M,19.46,3.83,10.02%,57.81B,HSC
SINOPEC CORP,00386.HK,4.15,0,0.00%,40.26M,166.97M,6.73,0.56,9.65%,102.71B,HSC
HKEX,00388.HK,291,0.8,0.28%,1.70M,492.81M,36.56,7.42,2.45%,368.94B,HSF
TECHTRONIC IND,00669.HK,81.25,-0.5,-0.61%,3.18M,256.56M,17.68,3.67,2.28%,149.04B,HSC
CHINA OVERSEAS,00688.HK,14.92,0.14,0.95%,7.64M,114.10M,6.21,0.41,5.36%,163.30B,HSP
TENCENT,00700.HK,324.4,-0.4,-0.12%,14.17M,4.62B,14.56,3.81,0.74%,"3084.39B",HSC
CHINA UNICOM,00762.HK,5.1,0.08,1.59%,14.22M,72.25M,8.22,0.41,6.06%,156.05B,HSC
LINK REIT,00823.HK,40,0.3,0.76%,8.45M,337.63M,5.64,0.54,6.75%,102.48B,HSP
CHINA RES POWER,00836.HK,15.76,-0.12,-0.76%,4.66M,73.52M,10.8,0.92,3.72%,75.81B,HSU
PETROCHINA,00857.HK,5.21,0.03,0.58%,50.30M,261.46M,5.63,0.62,9.15%,109.93B,HSC
XINYI GLASS,00868.HK,9.34,-0.12,-1.27%,5.61M,52.12M,7.38,1.2,6.64%,39.44B,HSC
ZHONGSHENG HLDG,00881.HK,18.82,-0.58,-2.99%,2.17M,40.79M,6.05,0.92,5.79%,45.00B,HSC
CNOOC,00883.HK,12.92,-0.02,-0.16%,44.02M,568.79M,3.78,0.91,20.36%,614.56B,HSC
CCB,00939.HK,4.59,0.01,0.22%,78.94M,362.20M,3.18,0.37,9.56%,"1103.52B",HSF
CHINA MOBILE,00941.HK,62.8,0.05,0.08%,10.44M,656.33M,9.47,0.92,7.02%,"1343.20B",HSC
LONGFOR GROUP,00960.HK,13.76,0.12,0.88%,14.51M,200.69M,2.99,0.54,9.26%,90.70B,HSP
XINYI SOLAR,00968.HK,4.99,-0.14,-2.73%,9.16M,45.81M,11.62,1.49,4.01%,44.43B,HSC
SMIC,00981.HK,21.45,-0.25,-1.15%,30.79M,661.09M,11.94,1.14,0.00%,170.44B,HSC
LENOVO GROUP,00992.HK,9.6,0.08,0.84%,43.35M,415.42M,9.06,2.65,3.96%,116.43B,HSC
CKI HOLDINGS,01038.HK,38.5,0.05,0.13%,427.01K,16.39M,12.5,0.81,6.57%,97.01B,HSU
HENGAN INT'L,01044.HK,28.7,0,0.00%,1.65M,47.12M,15.35,1.51,5.50%,33.35B,HSC
CHINA SHENHUA,01088.HK,25.2,0.1,0.40%,5.90M,148.52M,6.09,1.12,11.42%,85.11B,HSC
CSPC PHARMA,01093.HK,6.85,-0.04,-0.58%,25.44M,173.95M,11.88,2.4,3.07%,81.54B,HSC
SINOPHARM,01099.HK,19.76,0.18,0.92%,5.01M,98.68M,6.42,0.8,4.68%,26.51B,HSC
CHINA RES LAND,01109.HK,30.25,0,0.00%,6.14M,186.25M,6.81,0.78,5.23%,215.71B,HSP
CK ASSET,01113.HK,39.5,0.3,0.77%,2.62M,103.19M,6.61,0.38,5.77%,140.18B,HSP
SINO BIOPHARM,01177.HK,3.77,-0.03,-0.79%,35.06M,131.85M,24.47,2.11,3.18%,70.88B,HSC
CHINA RES MIXC,01209.HK,30.3,-0.2,-0.66%,1.11M,33.83M,27.78,4.29,2.99%,69.16B,HSP
BYD COMPANY,01211.HK,240,-2.2,-0.91%,4.53M,1.09B,37.26,5.58,0.54%,263.52B,HSC
AIA,01299.HK,73,0.4,0.55%,12.53M,910.10M,467.47,2.89,2.11%,835.04B,HSF
CHINAHONGQIAO,01378.HK,6.74,0.01,0.15%,6.02M,40.45M,6.39,0.67,7.57%,63.87B,HSC
ICBC,01398.HK,3.8,0.01,0.26%,60.72M,230.59M,3.47,0.37,9.01%,329.82B,HSF
XIAOMI-W,01810.HK,15.12,-0.26,-1.69%,192.07M,2.89B,134.03,2.33,0.00%,377.82B,HSC
BUD APAC,01876.HK,15.5,-0.06,-0.39%,5.52M,85.44M,28.73,2.44,1.90%,205.27B,HSC
SANDS CHINA LTD,01928.HK,21.25,-0.25,-1.16%,6.86M,145.72M,No Profit,N/A,0.00%,171.98B,HSC
CHOW TAI FOOK,01929.HK,11.8,0.06,0.51%,5.15M,60.37M,21.93,3.64,10.34%,118.00B,HSC
WHARF REIC,01997.HK,27.4,0.05,0.18%,1.94M,53.02M,No Profit,0.44,4.78%,83.19B,HSP
ANTA SPORTS,02020.HK,82.3,-0.7,-0.84%,3.42M,280.44M,25.87,5.76,1.63%,233.12B,HSC
WUXI BIO,02269.HK,47.4,-1.15,-2.37%,13.15M,625.09M,39.64,5.07,0.00%,201.69B,HSC
