Date,Action
2022-05-12,BUY
2022-05-20,SELL
2022-06-10,SELL
2022-06-14,SELL
2022-07-12,BUY
2022-07-18,BUY
2022-07-27,BUY
2022-08-01,BUY
2022-08-09,BUY
2022-08-29,SELL
2022-09-16,BUY
2022-09-19,BUY
2022-09-26,BUY
2022-10-03,BUY
2022-10-11,BUY
2022-10-17,BUY
2022-10-24,BUY
2022-10-31,BUY
2022-11-14,SELL
2022-11-21,SELL
2022-11-29,SELL
2022-12-09,SELL
2022-12-14,SELL
2023-01-09,SELL
2023-01-16,SELL
2023-01-26,SELL
2023-02-13,SELL
2023-02-28,BUY
2023-03-10,BUY
2023-03-31,SELL
2023-04-03,SELL
2023-04-24,BUY
